ModelName,ProductColor,ProductCost,ProductDescription,ProductsKey,ProductName,ProductPrice,ProductSize,ProductSKU,ProductStyle,SubcategoryName,CategoryName
All-Purpose Bike Stand,NA,59.466,Perfect all-purpose bike stand for working on your bike at home. Quick-adjusting clamps and steel construction.,486,All-Purpose Bike Stand,159,0,ST-1401,0,Bike Stands,Accessories
Bike Wash,NA,2.9733,"Washes off the toughest road grime; dissolves grease, environmentally safe. 1-liter bottle.",484,Bike Wash - Dissolver,7.95,0,CL-9009,0,Cleaners,Accessories
Cable Lock,NA,10.3125,"Wraps to fit front and rear tires, carrier and 2 keys included.",447,Cable Lock,25,0,LO-C100,0,Locks,Accessories
Chain,Silver,8.9866,Superior shifting performance.,559,Chain,20.24,0,CH-0234,0,Chains,Components
Classic Vest,Blue,23.749,"Light-weight, wind-resistant, packs to fit into a pocket.",471,"Classic Vest, S",63.5,S,VE-C304-S,U,Vests,Clothing
Classic Vest,Blue,23.749,"Light-weight, wind-resistant, packs to fit into a pocket.",472,"Classic Vest, M",63.5,M,VE-C304-M,U,Vests,Clothing
Classic Vest,Blue,23.749,"Light-weight, wind-resistant, packs to fit into a pocket.",473,"Classic Vest, L",63.5,L,VE-C304-L,U,Vests,Clothing
Cycling Cap,Multi,5.7052,Traditional style with a flip-up brim; one-size fits all.,223,AWC Logo Cap,8.6442,0,CA-1098,U,Caps,Clothing
Fender Set - Mountain,NA,8.2205,Clip-on fenders fit most mountain bikes.,485,Fender Set - Mountain,21.98,0,FE-6654,0,Fenders,Accessories
Front Brakes,Silver,47.286,All-weather brake pads; provides superior stopping by applying more surface to the rim.,555,Front Brakes,106.5,0,FB-9873,0,Brakes,Components
Front Derailleur,Silver,40.6216,Wide-link design.,552,Front Derailleur,91.49,0,FD-2342,0,Derailleurs,Components
Full-Finger Gloves,Black,15.6709,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.",468,"Full-Finger Gloves, S",37.99,S,GL-F110-S,U,Gloves,Clothing
Full-Finger Gloves,Black,15.6709,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.",469,"Full-Finger Gloves, M",37.99,M,GL-F110-M,U,Gloves,Clothing
Full-Finger Gloves,Black,15.6709,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.",470,"Full-Finger Gloves, L",37.99,L,GL-F110-L,U,Gloves,Clothing
Half-Finger Gloves,Black,9.7136,"Full padding, improved finger flex, durable palm, adjustable closure.",462,"Half-Finger Gloves, S",23.5481,S,GL-H102-S,U,Gloves,Clothing
Half-Finger Gloves,Black,9.7136,"Full padding, improved finger flex, durable palm, adjustable closure.",464,"Half-Finger Gloves, M",23.5481,M,GL-H102-M,U,Gloves,Clothing
Half-Finger Gloves,Black,9.7136,"Full padding, improved finger flex, durable palm, adjustable closure.",466,"Half-Finger Gloves, L",23.5481,L,GL-H102-L,U,Gloves,Clothing
Headlights - Dual-Beam,NA,14.4334,Rechargeable dual-beam headlight.,451,Headlights - Dual-Beam,34.99,0,LT-H902,0,Lights,Accessories
Headlights - Weatherproof,NA,18.5584,Rugged weatherproof headlight.,452,Headlights - Weatherproof,44.99,0,LT-H903,0,Lights,Accessories
Hitch Rack - 4-Bike,NA,44.88,"Carries 4 bikes securely; steel construction, fits 2"" receiver hitch.",483,Hitch Rack - 4-Bike,120,0,RA-H123,0,Bike Racks,Accessories
